entry_id,week_number,stage,q1_score,q2_score,q3_score,q4_score,participant_age,participant_gender,doodle_storage_path
090,2,2,5,4,5,4,20.0,female,week-2/w2_s2_090.png
091,2,2,2,3,5,2,57.0,male,week-2/w2_s2_091.png
092,2,2,4,5,5,2,20.0,female,week-2/w2_s2_092.png
093,2,2,1,1,1,1,58.0,male,week-2/w2_s2_093.png
094,2,2,4,5,4,5,20.0,female,week-2/w2_s2_094.png
095,2,2,4,5,2,3,23.0,female,week-2/w2_s2_095.png
096,2,2,2,2,1,5,24.0,nonbinary,week-2/w2_s2_096.png
097,2,2,3,3,5,2,23.0,male,week-2/w2_s2_097.png
098,2,2,4,2,1,5,22.0,male,week-2/w2_s2_098.png
099,2,2,5,4,1,4,25.0,male,week-2/w2_s2_099.png
100,2,2,4,4,5,2,20.0,female,week-2/w2_s2_100.png
101,2,2,1,4,1,3,21.0,male,week-2/w2_s2_101.png
102,2,2,1,3,1,5,21.0,male,week-2/w2_s2_102.png
103,2,2,4,5,1,4,20.0,female,week-2/w2_s2_103.png
104,2,2,2,3,1,4,20.0,self_describe,week-2/w2_s2_104.png
105,2,2,3,2,5,4,24.0,male,week-2/w2_s2_105.png
106,2,2,4,2,5,2,20.0,female,week-2/w2_s2_106.png
107,2,2,4,3,5,4,20.0,female,week-2/w2_s2_107.png
108,2,2,3,3,5,3,19.0,female,week-2/w2_s2_108.png
109,2,2,5,5,1,4,22.0,female,week-2/w2_s2_109.png
110,2,2,5,4,1,3,22.0,female,week-2/w2_s2_110.png
111,2,2,5,2,5,1,21.0,female,week-2/w2_s2_111.png
112,2,2,5,3,5,3,,female,week-2/w2_s2_112.png
113,2,2,5,1,5,1,34.0,male,week-2/w2_s2_113.png
114,2,2,4,4,1,3,27.0,male,week-2/w2_s2_114.png
115,2,2,5,4,1,4,25.0,female,week-2/w2_s2_115.png
116,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_116.png
117,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_117.png
118,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_118.png
119,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_119.png
120,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_120.png
121,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_121.png
122,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_122.png
123,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_123.png
124,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_124.png
125,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_125.png
126,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_126.png
127,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_127.png
128,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_128.png
129,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_129.png
130,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_130.png
131,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_131.png
132,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_132.png
133,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_133.png
134,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_134.png
135,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_135.png
136,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_136.png
137,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_137.png
138,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_138.png
139,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_139.png
140,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_140.png
141,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_141.png
142,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_142.png
143,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_143.png
144,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_144.png
145,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_145.png
146,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_146.png
147,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_147.png
148,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_148.png
149,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_149.png
150,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_150.png
151,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_151.png
152,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_152.png
153,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_153.png
154,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_154.png
155,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_155.png
156,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_156.png
157,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_157.png
158,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_158.png
159,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_159.png
160,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_160.png
161,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_161.png
162,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_162.png
163,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_163.png
164,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_164.png
165,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_165.png
166,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_166.png
167,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_167.png
168,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_168.png
169,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_169.png
170,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_170.png
171,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_171.png
172,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_172.png
173,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_173.png
174,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_174.png
175,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_175.png
176,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_176.png
177,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_177.png
178,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_178.png
179,2,2,3,3,3,3,,prefer_not_to_say,week-2/w2_s2_179.png
